names,res,fps,framenos
/media/labuser-admin/seagate/hdr_videos/cut_vids/glassblowing_41.mp4,3840x2160,60000/1001,540
/media/labuser-admin/seagate/hdr_videos/cut_vids/glassblowing_51.mp4,3840x2160,60000/1001,540
/media/labuser-admin/seagate/hdr_videos/cut_vids/glassblowing_61.mp4,3840x2160,60000/1001,539
/media/labuser-admin/seagate/hdr_videos/cut_vids/glassblowing_71.mp4,3840x2160,60000/1001,539
/media/labuser-admin/seagate/hdr_videos/cut_vids/glassblowing_81.mp4,3840x2160,60000/1001,538
/media/labuser-admin/seagate/hdr_videos/cut_vids/glassblowing_91.mp4,3840x2160,60000/1001,537
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphone_hdr10_0.mp4,3840x2160,60/1,604
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphone_hdr10_10.mp4,3840x2160,60000/1001,492
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphone.mp4,3840x2160,60/1,896
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_100.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_10.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_110.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_120.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_130.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_140.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_150.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_160.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_170.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_20.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_30.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_40.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_50.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_60.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_70.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_80.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/iphonepromax_90.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/istanbul_133.mp4,3840x2160,30000/1001,326
/media/labuser-admin/seagate/hdr_videos/cut_vids/istanbul_142.mp4,3840x2160,30000/1001,266
/media/labuser-admin/seagate/hdr_videos/cut_vids/istanbul_143.mp4,3840x2160,30000/1001,296
/media/labuser-admin/seagate/hdr_videos/cut_vids/istanbul_171.mp4,3840x2160,30000/1001,175
/media/labuser-admin/seagate/hdr_videos/cut_vids/istanbul_172.mp4,3840x2160,30000/1001,205
/media/labuser-admin/seagate/hdr_videos/cut_vids/knossos_169.mp4,3840x2160,30000/1001,275
/media/labuser-admin/seagate/hdr_videos/cut_vids/knossos_170.mp4,3840x2160,30000/1001,305
/media/labuser-admin/seagate/hdr_videos/cut_vids/knossos_183.mp4,3840x2160,30000/1001,305
/media/labuser-admin/seagate/hdr_videos/cut_vids/knossos_184.mp4,3840x2160,30000/1001,215
/media/labuser-admin/seagate/hdr_videos/cut_vids/knossos_44.mp4,3840x2160,30000/1001,119
/media/labuser-admin/seagate/hdr_videos/cut_vids/knossos_60.mp4,3840x2160,30000/1001,208
/media/labuser-admin/seagate/hdr_videos/cut_vids/lgchess_15.mp4,3840x2160,60000/1001,647
/media/labuser-admin/seagate/hdr_videos/cut_vids/lgchess_26.mp4,3840x2160,60000/1001,492
/media/labuser-admin/seagate/hdr_videos/cut_vids/lgchess_41.mp4,3840x2160,60000/1001,691
/media/labuser-admin/seagate/hdr_videos/cut_vids/lgchess_4.mp4,3840x2160,60000/1001,600
/media/labuser-admin/seagate/hdr_videos/cut_vids/LG_chess.mp4,3840x2160,60000/1001,694
/media/labuser-admin/seagate/hdr_videos/cut_vids/LG_raysoflight1.mp4,3840x2160,60000/1001,703
/media/labuser-admin/seagate/hdr_videos/cut_vids/LG_raysoflight2.mp4,3840x2160,60000/1001,737
/media/labuser-admin/seagate/hdr_videos/cut_vids/LG_raysoflight3.mp4,3840x2160,60000/1001,702
/media/labuser-admin/seagate/hdr_videos/cut_vids/LG_raysoflight4.mp4,3840x2160,60000/1001,780
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_0.mp4,3840x2160,24000/1001,264
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_100.mp4,3840x2160,24000/1001,230
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_10.mp4,3840x2160,24000/1001,248
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_110.mp4,3840x2160,24000/1001,256
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_120.mp4,3840x2160,24000/1001,261
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_130.mp4,3840x2160,24000/1001,193
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_140.mp4,3840x2160,24000/1001,223
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_150.mp4,3840x2160,24000/1001,191
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_160.mp4,3840x2160,24000/1001,260
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_170.mp4,3840x2160,24000/1001,263
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_180.mp4,3840x2160,24000/1001,244
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_190.mp4,3840x2160,24000/1001,212
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_200.mp4,3840x2160,24000/1001,185
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_20.mp4,3840x2160,24000/1001,232
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_30.mp4,3840x2160,24000/1001,215
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_40.mp4,3840x2160,24000/1001,199
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_50.mp4,3840x2160,24000/1001,183
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_60.mp4,3840x2160,24000/1001,182
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_70.mp4,3840x2160,24000/1001,213
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_80.mp4,3840x2160,24000/1001,262
/media/labuser-admin/seagate/hdr_videos/cut_vids/manhattanbeach_90.mp4,3840x2160,24000/1001,246
/media/labuser-admin/seagate/hdr_videos/cut_vids/monemvasia1.mp4,3840x2160,30000/1001,438
/media/labuser-admin/seagate/hdr_videos/cut_vids/monsklint_17.mp4,3840x2160,25/1,242
/media/labuser-admin/seagate/hdr_videos/cut_vids/monsklint_20.mp4,3840x2160,25/1,263
/media/labuser-admin/seagate/hdr_videos/cut_vids/monsklint_30.mp4,3840x2160,25/1,257
/media/labuser-admin/seagate/hdr_videos/cut_vids/monsklint_40.mp4,3840x2160,25/1,251
/media/labuser-admin/seagate/hdr_videos/cut_vids/monsklint_50.mp4,3840x2160,25/1,245
/media/labuser-admin/seagate/hdr_videos/cut_vids/monsklint_5.mp4,3840x2160,25/1,247
/media/labuser-admin/seagate/hdr_videos/cut_vids/monsklint_60.mp4,3840x2160,25/1,239
/media/labuser-admin/seagate/hdr_videos/cut_vids/monsklint_70.mp4,3840x2160,25/1,233
/media/labuser-admin/seagate/hdr_videos/cut_vids/monsklint.mp4,3840x2160,25/1,350
